Pitch,Summary
Andrew__ANSS__SIR.pdf,"Ansys (NASDAQ: ANSS) is currently priced at $359.40 as of 10/14/21 with a price target of $401.81, representing an upside of 11.8%. The company was founded in 1970 by John Swanson as Swanson Analysis Systems, which was later sold to venture capitalists in 1993 and renamed Ansys. ANSS went public on the NASDAQ in 1996, raising $46M, and currently has a market cap of $30.46B.

ANSS provides simulation software for engineers, designers, and academics to predict how products will perform in real-world conditions. The company has expanded its product offerings over the years through R&D investments and targeted acquisitions. ANSS software initially focused on structural analysis but has since expanded to cover electronics, electromagnetics, fluids, semiconductors, and more.

The largest industries for ANSS in FY20 were high-tech, aerospace and defense, and automotive. ANSS operates globally, with the Americas contributing 48% of revenue, EMEA 24%, and APAC 24%. The company has a diversified customer base across industries and geographies.

Ansys Workbench is the platform for all simulation technologies, while Ansys Discovery integrates real-time simulation and interactive geometry modeling. Customers can choose between perpetual licenses and lease licenses, with maintenance contracts available for software updates and support. ANSS also offers services like training programs.

ANSS is a leader in the simulation software industry, with a market size of around $10 billion in 2020 and an estimated CAGR of 17.1%. The company's growth opportunities include startup and academic programs, partnerships, and acquisitions. ANSS has a best-of-breed product with a wide range of offerings and high customer satisfaction rates.

The market may undervalue ANSS due to its product comparisons, growth opportunities, and partnerships. The company's strategic acquisitions and partnerships with companies like Microsoft, BMW, and Airbus provide significant value and growth potential. ANSS's startup and academic programs have high conversion rates, leading to long-term customer relationships.

ANSS's valuation compares favorably to its peers in the simulation software industry. Risks include sector downturns, competitive threats, and economic recessions, but ANSS's strong product offerings, customer stickiness, and past resilience during economic challenges help mitigate these risks.

In conclusion, ANSS has catalysts for increased valuations through consistent revenue beats, successful acquisitions, and market appreciation of its growth potential. The company's strong position in the simulation software industry, strategic partnerships, and diversified customer base position it well for future growth."
Andrew__BOX__SIR.pdf,"1. Box Inc. is a company listed on the New York Stock Exchange under the ticker symbol BOX, with a current stock price of $22.02 as of March 7, 2021. The 12-month price target for the company is $31.57, with an Internal Rate of Return (IRR) of 43.37%.

2. Box provides a cloud content management platform that allows users to collaborate internally and externally. They have nearly 1,500 integrations with partners like Microsoft, Google, Apple, Slack, and Zoom, ensuring secure content management in the cloud. The company's key financial information includes revenue of $770.8 million, a gross margin of 70.8%, an EBITDA margin of 4.9%, and an Enterprise Value of $3,573.0 million.

3. The market has interpreted Box's revenue growth slowdown as a sign of inability to compete with major competitors such as Microsoft and Open Text. However, research suggests that the revenue slowdown is due to poor managerial decisions like cuts to sales and marketing. The high quality of Box's product should allow it to maintain market share in a growing industry. A potential takeover by activist group Starboard Value could accelerate revenue growth.

4. Box offers products in security and compliance, collaboration and workflow, and enterprise suites. Their business model is subscription-based, focusing on maximizing the lifetime value of customer relationships. The global enterprise content management market is projected to grow, with Box's main competitors being Dropbox, Google Drive, and Microsoft OneDrive.

5. The investment thesis for Box includes the misunderstanding of the company's product, the growth of the total market, and margin expansion. The sell-side view may underestimate Box's moat in the industry, while the anticipated market growth and improved margins are positive factors for the company.

6. The pandemic has not slowed the growth of the cloud content management space, with the market expected to grow significantly in the coming years. Box's margins have improved, showing promise for the company's future performance.

7. Valuation of Box includes discounted cash flow (DCF) analysis, with assumptions made about levered and unlevered FCF to determine intrinsic value. The company's sensitivity table and WACC calculation are also considered in the valuation.

8. Risks for Box include competition from large companies like Microsoft and Google, as well as criticism of management's motivation to generate returns for shareholders. Mitigants include the company's segmented customer base and compliance with domestic and international regulations.

9. Potential catalysts for Box include a takeover by Starboard Value, which has a history of success in technology companies. Box's competitive advantage lies in specific verticals like Box GxP Validation for life sciences companies and compliance with regulations like HIPAA, FINRA, and the HITECH Act. A case study of Darden Restaurants shows how a takeover by Starboard can lead to improved performance and stock price growth."
Andrew__CROX__SIR.pdf,"Crocs Inc. (NASDAQ: CROX) is currently priced at $81.73 as of 4/7/21 with a price target of $99.08, indicating an upside of 21%. The team analyzing this company includes Alex Baker, Daniel Forrest, Jack McDonough, Mohammed Mobashir, Rebecca Xi, and Andrew Kelser.

Crocs, Inc. produces and distributes casual footwear for men, women, and children, including clogs, sandals, sneakers, and more. The company operates globally across the Americas, Asia Pacific, and Europe, Middle East & Africa. Revenue is generated through e-commerce, wholesale, and retail channels.

Key financial information for Crocs includes a revenue of $1.386 million with a growth rate of 13%, EBITDA of $267 million with a growth rate of 75% and a margin of 19%, and EPS of $225 with a growth rate of 325%.

The investment thesis for Crocs is based on three main points:
1. Brand Strength - Crocs' appeal to Gen Z, collaborations with celebrities, and community values have increased its popularity.
2. International & Digital Growth Opportunities - Crocs is focusing on growth in China and transitioning to e-commerce for increased sales.
3. Margin Expansion Opportunities - Crocs has been expanding margins through improving unit economics and product mix.

The company's business model focuses on gaining market share in the clogs industry, which has lower fashion risk and higher margins compared to other footwear types. Crocs has shown significant growth in revenue and margin expansion in recent years.

Risks for Crocs include maintaining brand value, international concerns, and potential sales disruptions. Catalysts for the company include strategic management appointments, new distribution centers, and a focus on diversified product ranges post-pandemic.

Overall, Crocs Inc. has shown strong growth potential through its brand strength, international expansion, and margin expansion strategies. The company's focus on clogs and e-commerce sales could drive future growth."
Andrew__Vale__SIR.pdf,"Vale (NYSE: VALE) is a Brazilian metals and mining company, one of the world's largest producers of iron ore and nickel. They also have investments in energy and steel, operating 9 hydroelectric plants and a transportation network of railroads and ships. Vale was created in 1942 and currently has a market capitalization of $97bn, with operations in 30 countries and over 125,000 employees worldwide.

The company's operational revenue breakdown includes iron ore (68.2%), iron ore pellets (10.6%), ferroalloys and manganese (0.6%), nickel (12.5%), copper (5.4%), coal (1.2%), and other metals (1.5%). Vale is committed to the United Nations Sustainable Development Goals and employs cutting-edge technology in its operations.

Vale has faced environmental disasters, including the Mariana Dam Disaster in 2015 and the Brumadinho dam collapse in 2019, resulting in significant fines and damage. The company is focused on improving its environmental footprint, with goals to reduce emissions and invest in sustainability initiatives.

In terms of technology, Vale's patented briquettes technology allows for more efficient production and reduced emissions, leading to potential cost savings. The company is also investing in other technological advancements to improve its operations.

Vale's stock has been undervalued due to ESG concerns and the recent environmental disasters. However, the company's focus on technological differentiation and commitment to sustainability could lead to future growth opportunities. Additionally, Vale's performance relative to its peers and progress towards ESG goals could drive stock price appreciation.

Risks for Vale include fluctuations in iron ore prices, global steel production slowdowns, and regulatory changes. Mitigants include the company's diversified operations and potential for growth in other metals. Catalysts for Vale's stock price appreciation include revenue outperformance, meeting ESG goals, and outperforming its peers."
Arthur__EGLX__SIR.pdf,"Enthusiast Gaming (TSX: EGLX) is currently trading at $7.06 per share on 3/09/20. The company operates in the gaming media industry, targeting Generation Z, which is considered the face of 21st-century gaming. Enthusiast Gaming engages with gamers through various platforms, offering advertisers access to untapped customers. The company has a comprehensive offering that allows advertisers to reach a distinct audience that does not use social media or watch TV, with a focus on sticky revenue growth.

The Total Accessible Market (TAM) for Enthusiast Gaming includes 300 million gamers monthly, with 70% of its audience being members of Gen Z. The global gaming industry is projected to grow significantly, reaching $305 billion in value. Enthusiast Gaming is pursuing an aggressive M&A strategy to expand its reach and capitalize on the growing market.

The company emphasizes that its audience considers gaming a lifestyle, leading to loyal and recurring customers. Enthusiast Gaming has over 110,000 subscribers, generating revenue from subscriptions. The company is focused on offering an integrated subscription model to further monetize its platforms.

Enthusiast Gaming is well-positioned to capitalize on the gaming industry's growth and the increasing share of income going to Gen Z. The company's focus on providing a comprehensive gamer experience and sticky revenue growth model sets it apart in the market. With a strong presence in the gaming media industry, Enthusiast Gaming is poised for transformative growth and monetization opportunities."
Arthur__FIVN1__SIR.pdf,"Five9, Inc. (FIVN) is the #1 cloud software provider for customer-service contact centers. The company recently terminated a merger agreement with Zoom (ZM) on 09.30.2021, which has led to a decline in share prices, creating a buying opportunity. Despite the deal break, Five9 is a best-in-class software company with a revenue CAGR of over 30% through 2025 and positive free cash flow. The share price is expected to rerate to around $210/share once deal-related overhangs clear. 

The video introduces key team members at Five9, including Arthur Paleologos, Faris Alyousef, Baptiste Gibrat, Eric Hansen, Max Li, Nicolas Michel, Grant Schwartz, Rohan Sheth, and Caroline Yun. The company, established in 2001 and IPO'd in 2014, provides enterprise solutions in the Contact Center as a Service (CCaaS) sector, focusing on cloud-based multichannel communication, workflow integration, and analytics. Five9's growth plans include a higher international focus and the addition of AI-focused services. 

The industry overview reveals that the contact center solutions market is rapidly growing, with a projected 5-year CAGR of 15.7%. Five9 faces competition from various players, including legacy vendors, other contact center services/technology providers, and CRM vendors. Despite the fallout from the failed Zoom merger, investors have a margin of safety from potential additional buyouts, as the company remains an attractive acquisition target. 

Overall, the investment theses for Five9 include the buying opportunity created by the failed merger, the company's growth trajectory and best-in-class product, and the margin of safety provided by potential buyouts. While there are risks related to quants/merger arbs selling their positions, competition in the CCaaS industry, and management guidance, the company's strong fundamentals and growth prospects make it an attractive long-term investment."
Arthur__FIVN2__SIR.pdf,"In summary, Five9, Inc. (NASDAQ: FIVN) is a leading cloud software provider for customer-service contact centers. After the termination of its merger agreement with Zoom, the stock price has declined significantly, presenting an attractive buying opportunity. The company has a strong growth trajectory with a 30% revenue CAGR through 2025 and positive FCF. The thesis for a long position in FIVN is based on the belief that the share price should rerate to $210/share as deal-related overhangs clear with time.

The investment theses include the fallout from the failed Zoom merger creating short-term downward pressure on FIVN stock, FIVN's top-tier cloud software growth status, and its potential as an acquisition target for other strategic buyers. The company's competitive position in the CCaaS industry is strong, with a focus on cloud-based multichannel communication and analytics.

Potential risks include the possibility of quants/merger arbs still selling, competition in the CCaaS industry from large entrants like Amazon and Twilio, management releasing lackluster guidance, and sensitivity to rates and inflation. However, overall, the fundamental outlook for FIVN remains positive.

The valuation analysis suggests an EV/Revenue multiple of around 20x, justified by FIVN's growth and margin profile compared to its competitors. The target price of $210/share is based on the company's strong fundamentals and growth potential. Despite some risks, the investment in FIVN is seen as a compelling opportunity for investors with a 6-month time horizon."
Arthur__SRAD__SIR.pdf,"Summary of SRAD:

The executive summary outlines the thesis points of SRAD, which include being tethered to the large, fast-growing global sports betting market and securing a leading market position with strong data rights and partnerships. The response to risks includes addressing concerns about revenue concentration, regulation, and competition.

The sports betting industry has evolved through three major phases from 2000 to the present, with increasing availability on mobile platforms and a greater variety of sports and leagues. SRAD operates on a B2B SaaS subscription model, providing data and content to sports leagues, betting operators, and media companies. The company's revenue is tied to the growth of the US sports betting market, with high retention, growth, and profitability validating its business model.

The response to risks related to revenue concentration explains that SRAD's revenue is not as concentrated as perceived, with long-term contracts and a creditworthy customer base. Regulatory concerns are limited due to global trends towards manageable regulation, and competition is not a significant threat as SRAD can continue to grow without directly competing for customers. The valuation of SRAD compared to competitors like Genius indicates that SRAD's growth is more sustainable long-term, with projections for continued growth up to 2026."
Asher__Airbnb__SIR.pdf,"Detailed Summary:

1. Company Overview:
Airbnb is an ""enablement platform"" that provides a marketplace for hosts and guests for stays and experiences. Founded in 2008 by Brian Chesky, Nathan Blecharczyk, and Joe Gebbia, Airbnb has grown rapidly with positive free cash flow and raised debt in April 2020 at an $18B valuation to weather the pandemic.

2. Competitor Overview:
Airbnb competes with companies like Booking.com, Vrbo/HomeAway, and Tripadvisor/FlipKey in the short-term rental market. Airbnb differentiates itself through its variety of listings, additional products, and global reach.

3. Thesis 1: Market Mispricing due to COVID Headwinds:
The market may be overreacting to COVID headwinds affecting Airbnb, leading to undervaluation compared to competitors. Airbnb successfully pivoted from international to local stays, but top-line growth prospects may be pushed back.

4. Thesis 2: Structural Winner over Hotels and Traditional Leasers:
Airbnb is positioned to win market share over hotels and traditional leasers due to its convenience, trust, pricing, and supply advantages. The company's top-tier talent has succeeded in taking market share from legacy competitors.

5. Thesis 3: Long-term tailwinds due to WFH:
Airbnb stands to benefit from long-term tailwinds due to the shift in work from home lifestyle. The company's focus on bringing wonder to travel aligns with the changing travel and living preferences accelerated by the pandemic.

6. Valuation: Market Discounting Housing Uncertainty:
The 5-year price target for Airbnb is $342, implying a 15% IRR. The company's growth prospects and multiples suggest room for growth, despite potential risks related to regulatory challenges and competitive pressures.

7. Risk Factors:
Risk factors for Airbnb include regulatory challenges, negative publicity, talent retention, operating expenses, and competition from other marketplace rental platforms. However, the company has mitigants in place to address these risks.

Overall, Airbnb is positioned as a strong player in the short-term rental market, with a focus on innovation, customer satisfaction, and long-term growth potential."
Asher__Cloudflare__SIR.pdf,"Current Share Price (03/24/21): $64.60
Implied Share Price: $85.81
Upside: 30.27%
LONG: Cloudflare (NYSE: NET)
Asher Noel - SIR Director
Oleg Pavliv - SIR Analyst
Ian Leifer - SIR Analyst
Frederik Fuchs - SIR Analyst

Business Overview:
Cloudflare operates a network infrastructure with over 200 data centers that provide speed and security to its network users. Cloudflare's products focus on making the internet safer and faster, with services like Argo Tunnel, Magic Transit, WARP, Access, Gateway, and more.

Competitive Landscape:
Cloudflare faces competition from major CDN competitors like Akamai, AWS Cloud Front, and Fastly. While Cloudflare has the most customers, Akamai leads in enterprise customers, which boosts revenue.

Thesis 1: SASE justifies valuation today:
Secure Access Service Edge (SASE) is the future of network security, offering an integrated network security solution in the cloud. Cloudflare's existing infrastructure and products are well-positioned for the SASE market, providing strong potential.

Thesis 2: Nobody knows how to accurately price Workers:
Workers, Cloudflare's serverless compute platform, can potentially turn the company into a $100B enterprise within 5 years. Workers is an enablement platform that could drive revenue growth from entrepreneurs building new use cases.

Valuation: 10-year DCF:
Revenue growth stickiness of 97.5% with a 10% WACC leads to an implied share price of $91.46 using a 13x exit EV/EBITDA multiple.

Risk Factors:
Potential risks include low talent density, competition from Fastly, ISPs, AWS, and Web 3.0 trends. Cloudflare's ability to recruit and retain top talent is crucial for its future success.

Overall, Cloudflare's innovative products, competitive positioning in the SASE market, and potential for significant revenue growth from Workers make it an attractive investment opportunity with strong upside potential."
