Pitch,Summary
Cathy___AMD___SIR.pdf,"Advanced Micro Devices (AMD) is a leading CPU and GPU manufacturer with a strong global presence. The company competes with Intel in the CPU market and NVIDIA in the GPU market. AMD has a technological edge in data centers and generative AI growth, which is expected to drive data center growth. The company's current valuation is attractive, making it a long recommendation.

Key financials of AMD (as of 3/2/23) include a market cap of $126.2B, enterprise value of $123.3B, LTM revenue of $23.6B, and LTM EBIT of $1.46B. The semiconductor industry is projected to decrease in FY23 but is expected to see growth in FY24 and beyond.

AMD's data center segment has seen significant revenue growth, with revenue increasing from $1.6bn in FY21 to $6bn in FY22. The company's EPYC offering outperforms Intel's Xeon, giving AMD a competitive advantage in AI applications. AMD's market position in AI is supported by acquisitions of Xilinx and Pensando.

The company also has proprietary CPU innovations and a strong presence in the GPU market, supplying GPUs for major gaming consoles and Tesla cars. AMD's technological advantages, such as Infinity Fabric and Ryzen CPUs, contribute to its market position.

Risks for AMD include supply chain disruptions, regulatory risks, materials cost, and inflation affecting consumer spending. However, the company has mitigants in place to address these risks.

AMD's competitive landscape includes Intel and other CPU and GPU makers. Price-to-earnings multiple analysis shows a promising entry point for investors. The bull case implies an upside of 92.6%, with a target price of $155, while the bear case suggests a 7.9% upside with a target price of $86.80.

Overall, AMD's strong technological edge in data centers and generative AI growth, coupled with its attractive valuation, make it a compelling long-term investment opportunity with significant upside potential."
Cathy___Micron___SIR.pdf,"Semiconductors are a critical aspect of the electronics industry, with major players like Intel, Samsung, TSMC, Qualcomm, Broadcom, and Texas Instruments leading the market. The industry is projected to reach $726.73 billion by 2027 and is driven by growth in sectors like smart devices (IoT, AI, 5G, autonomous vehicles), renewables (solar power, wind turbines), and electric vehicles.

Micron Technology, Inc. is a key player in the semiconductor industry, specializing in memory and storage products. With segments like Compute and Networking Business Unit, Mobile Business Unit, Embedded Business Unit, and Storage Business Unit, Micron offers a wide range of memory products for various markets. However, analysts suggest that the semiconductor industry, including Micron, is currently experiencing excess inventory and is entering a lower profit part of the supply cycle.

The US-China tensions have impacted the semiconductor industry, with China investing heavily in its domestic semiconductor industry to reduce reliance on US suppliers. Recently, China launched a cybersecurity probe into Micron, seen as retaliation for US restrictions on technology sales to Beijing.

Despite market pessimism and concerns about supply-glut downturns, Micron's strategic moves indicate a long-term de-risking strategy rather than random geopolitical risks. It is suggested to watch for an entry point within the next year and not obsess over timing the market perfectly. The China risk is seen as a strategic turn away from the segment rather than a classic geopolitical risk, benefiting Micron's competitors in the short term."
Daniel___C3.AI___SIR.pdf,"Summary of C3.ai:

C3.ai is a software company founded in 2009 by Thomas Siebel, offering enterprise solutions powered by AI. They provide an AI development platform for creating and implementing enterprise applications, as well as a portfolio of pre-built AI applications. The company went public in December 2020 with a valuation of $9.6 billion. Their revenue model includes a core product, AI applications, a no-code ML data science platform, an AI-enhanced CRM, and an advanced data visualizer.

The competitive landscape for C3.ai is intense, with established players like Salesforce, SAP, Oracle, and Microsoft leading the way in CRM innovation. The market for enterprise AI is large and growing, with a forecasted CAGR of 12.1% over the next 7 years. However, C3.ai faces specific challenges such as unclear TAM estimates and a minuscule market share.

Recent changes in C3.ai's revenue model from subscription-based to consumption-based pricing have raised concerns among analysts. The switch may slow revenue growth in both the short and long term, with a decrease in average contract value and potential customer churn.

The company has also faced challenges related to customer counting, with reports of inflated customer numbers and potential accounting manipulations. Major stakeholders, such as partner Baker Hughes, have shown dwindling confidence in C3.ai, which could impact the company's revenue.

Analysts recommend a short position on C3.ai due to concerns about the new revenue model, customer counting issues, and uncertainties surrounding major partnerships. They also highlight risks related to the company's financials, market competition, and management turnover. Overall, the outlook for C3.ai is mixed, with potential for growth but significant challenges to overcome."
Daniel___Match___SIR.pdf,"Match Group is a dating app conglomerate with a strong market position and top-tier tech leadership. It holds high market share and unmatched pricing power, with a diverse portfolio of apps ranging from exclusive luxury apps to common staples. The network effect of owning top brand names creates a market moat, and shared consumer data allows for continuous customer insight. The recent addition of Bernard Kim as CEO and Will Wu as CTO is expected to drive revenue growth and tech innovation.

The company has strong market power in the social dating platform space, holding 66% market share globally. It operates in a fragmented market with various competitors but has been expanding internationally with acquisitions like Hyperconnect. Match Group has been focusing on expanding its revenue streams through new services, premium features, and a move into the Metaverse.

Analysts have highlighted the unmatched pricing power of Match Group and the experienced leadership team as key investment theses. However, there are risks such as a class action lawsuit, concerns about data collection, and market cannibalism. Catalysts for growth include expanding subscriptions, positive media attention, and new monetization strategies. 

The current price of Match Group is $35.12 with a price target of $55.24. The SIR Director is Daniel Wang, and the analysts covering the company are Joey Perriello, Hannah Davis, Mike Peckham, Cole Breen, Daniel Berk, and Abdu Sahibousidq. The recommendation for Match Group is to ""Hold""."
Felix___Duolingo___SIR.pdf,"Recommendation: Short

SIR Director: Felix Yeung
Analysts: Regina Lin, Cassie Liu, Paul Wuensche
Date: April 20, 2023

Table of Contents:
I. Thesis Overview
II. Business Overview
III. Industry Overview
IV. Investment Thesis
V. Risks
VI. Catalysts
VII. Valuation
I. Historical Multiples
II. Discount Cash Flow Analysis

Thesis Overview:
The recommendation is to take a short position on Duolingo due to several key points:
1. User growth is masking underlying fundamental weaknesses.
2. Limited potential for increased average revenue per user (ARPU) from Duolingo Max.
3. Significant overvaluation of the company compared to its competitors.

Risks:
- Concentration of user growth in regions where paid subscriptions are less likely.
- Competition from other AI-driven language-learning platforms.
- High marketing costs to convert free users to paid subscribers.
- Limited interest in Duolingo Max from users.

Catalysts:
- Potential for a decrease in Duolingo Max subscription prices.
- Structural issues in converting free users to paid subscribers.
- Slowdown in growth and limited uptake of new products.

Valuation:
- Current trading multiples are higher than historical averages.
- Discounted cash flow analysis indicates limited growth potential.
- Revenue projection model suggests a slowdown in growth and minimal increase in ARPU.

Overall, the analysis suggests that Duolingo is overvalued, and there are significant risks to its growth prospects. The recommendation is to take a short position with a price target of $110.64 for a 6-month hold, representing a 22.01% upside potential."
Felix___Warner___SIR.pdf,"Recommendation: Long
SIR Director: Felix Yeung
Analysts: Hailey Chen, Cassie Liu, Nick Lopez
March 30, 2023
Table of Contents
I. Thesis Overview
II. Business Overview
III. Industry Overview
IV. Investment Thesis
V. Risks
VI. Catalysts
VII. Valuation
   I. Comps Analysis
   II. Projected Cash Flow Analysis

Thesis Overview: Warner Music Group (WMG) benefits as a key player in the music industry, acting as an ""arms dealer"" connecting artists with digital streaming platforms. WMG is well-positioned to capitalize on streaming tailwinds and has an undervalued back catalog of artists.

Business Overview: WMG operates in Recorded Music and Music Publishing segments, with key financials showing growth and stability. The company comprises premier record labels and music publishing businesses.

Industry Overview: WMG is one of the ""Big Three"" record labels in a concentrated industry. The music consumption is increasing, driven by streaming services. The company has a strong market share and is well-positioned for growth.

Investment Thesis:
1. Arms Dealer Business Model: WMG benefits from its position as a key player in the music industry, with bargaining power with digital streaming platforms.
2. Streaming Tailwinds: The company is expected to experience top-line growth and margin expansion through increased adoption of paid streaming services.
3. Undervalued Back Catalog: WMG's back catalog and artist roster are undervalued based on historical multiples, presenting growth opportunities.

Risks: Potential risks include lower-than-expected streaming growth, increase in signing costs, unfavorable renewals with DSPs, and losing market share to independent labels. However, these risks are mitigated by various factors, such as WMG's strong position in the industry and market trends.

Catalysts: Earnings announcements, streaming price increases, contract renewals, and revenue-sharing partnerships are expected to drive growth and increase investor confidence in WMG.

Valuation: WMG is trading comparably to some indie labels, below its closest peer (UMG), and near its two-year low EV/EBIT and EV/EBITDA multiples. Projected cash flows show potential for growth and margin expansion.

Overall, the recommendation is for a long position in WMG due to its strong market position, potential for growth, and undervalued back catalog."
Jonathan___Guidewire__Western.pdf,"Guidewire (NYSE: GWRE) Investment Presentation on January 10, 2023 by Jonathan Liu recommends a long position in the company. The presentation highlighted the following key points:

1. Underappreciated Pricing Power of Monopoly: The market underestimates PRM's pricing power despite its monopoly in the fire retardant market. Structural barriers to entry, regulatory requirements, risk-averse government customers, and scale network effects are overlooked, leading to Street mismodeling pricing growth.

2. Capturing Continued Volume Growth in All Fire Safety Verticals: PRM is well-positioned to grow product volumes in all Fire Safety end markets as climate change intensifies. International and preventative use Fire Safety markets are relatively nascent, with growth expected to exceed the broader US market. PRM's recent successes in booking international clients, approval of preventative products, penetration of full-service offering bases, and fluorine-free suppressants are areas where PRM will drive growth above sell-side estimates.

3. TransDigm 2.0: PRM's seasoned management team, led by chairman Nick Howley, will improve shareholder returns through the expansion of long-term margins and disciplined capital allocation. Management has already begun implementing the TDG playbook of price increases, cutting unnecessary headcount, and revamping employee compensation to improve FCF generation. PRM has additional equity upside from opportunistic M&A and buybacks.

The investment thesis includes the current share price of $7.50, a 2027 price target of $16, an IRR of 20%, and returns of 113%. The presentation also addresses mispricing, overblown competitive pressures, and the SPAC overhang causing hesitancy among investors. 

The core story of Perimeter Solutions being a unique opportunity to buy a market monopoly growing revenue at 10% and EBITDA at 14% in a niche, defensible, and secularly growing market was emphasized. The Street's fades growth rate, undershoots out-year EBITDA, and underappreciates Perimeter's durability of growth were highlighted.

The company overview, product offerings, ownership, historical financials, competitive landscape, market features, and fire safety market statistics were also detailed in the presentation.

The catalysts for the investment include margin relief, volume reversion, and smart capital allocation. The setup for Perimeter includes macro tailwinds, strong business momentum, and a strong fundamental outlook. Implied expectations, historical multiples, and publicly traded comps were also discussed in the presentation.

Management bios and additional information were provided in the appendix of the presentation."
Mai___Darling___SIR.pdf,"Summary:
Darling Ingredients is a company focused on animal waste recycling, particularly in the production of renewable fuels such as sustainable aviation fuels (SAFs) and renewable diesel. The company has a strong position in the market, with a unique operational advantage due to its early mover status. Darling has a deep moat in the booming renewable feedstock market and is a first-mover in Sustainable Aviation Fuels. The company also benefits from unaccounted efficiency increases in new plants and subsidiaries. There is a street misunderstanding of key low-carbon policy frameworks, which has led to undervaluation of the company.

Recommendation:
The recommendation for Darling Ingredients is to go long on the stock. The price target is set at $81, representing a 40-45% upside potential with a 12-15 month holding period. The company is considered an energy-transition ""darling"" that is underappreciated due to its legacy business and strong growth potential in the renewable fuel industry.

Analysts:
The analysis of Darling Ingredients was conducted by Jessie Pitsillides, Erik Mjaanes, and Maxwell Booker. The SIR Director overseeing the project is Mai Hoang.

Date:
The analysis was conducted on Thursday, March 30th, 2023.

Table of Contents:
- Business Overview
- Investment Thesis
- Risks
- Catalysts
- Valuation

Financial Summary:
Darling trades at higher P/E ratios than competitors in food recycling and lower EV/EBITDA in renewable diesel. The company's revenue breakdown includes its joint venture with Diamond Green Diesel.

Risks:
Some risks associated with Darling Ingredients include increased competition for renewable diesel, barriers to entry, SAF demand risks, and feedstock supply risks. Mitigants for these risks include the company's strong partnerships, focus on innovation, and diversification efforts.

Catalysts/Events:
Some potential catalysts for Darling Ingredients include the attainment of investment grade status, oil price spikes in 2023, updates to low-carbon fuel standards, and SAF contract announcements with major airlines.

Overall, Darling Ingredients is positioned for long-term growth in the renewable fuel industry, with strong fundamentals and key catalysts that could drive the stock price higher in the future."
Mai___Transdigm___SIR.pdf,"Transdigm is a company founded in 1993 that designs, produces, and supplies engineered aircraft components through its 48 subsidiaries. The company specializes in producing proprietary, niche components for OEM and aftermarket needs, resulting in high profitability and a wide economic moat. Transdigm has a distinguished management team with experience in the industry.

Financially, Transdigm has a diluted share growth of 4.2%, a TTM revenue of $1.64B, a gross margin of 72%, and an operating margin of -43%. The company has a strong acquisition history, with gross EV acquired since 2017 amounting to $6 billion.

The investment thesis for Transdigm includes points about the company's pricing power in the aftermarket, the growing defense market, and supportive macro trends in air travel demand. The company has a strong position in the defense market, with established relationships with the US DoD and other NATO member states. Transdigm's high-margin business model is well-suited for the current aviation industry trends, with increasing demand for its products.

Risks for Transdigm include sluggish international travel recovery, reputational issues, changes in government leadership, and governmental bargaining power. The company operates in a cyclical industry but is mitigated by its long-term contracts with reliable counterparties.

The recommendation for Transdigm is to hold, with a price target of $835.59. The company's stock is currently trading at high multiples compared to its peers, with a P/E ratio of 31.5x, EV/EBIDA (LTM) of 24.5, and EV/EBITDA (Forward) of 18.5x. It is advised to wait for the ticker price to dip below $730 before considering a buying opportunity."
Sarah___Everi___SIR.pdf,"**Summary of Everi Holdings:**

**Business Overview:**
Everi Holdings operates in the casino industry with a focus on gaming and fintech segments. They serve over 3,100 casinos and gaming properties in the US, Canada, Australia, and other regions. A significant portion of their revenue comes from recurring sources and long-term contracts.

**Industry Overview:**
The casino gaming industry has seen significant growth over the years with a TAM of $262B. Everi has a strong presence in both Class II and Class III gaming markets. The company is well-positioned to capitalize on the growing trend towards cashless transactions in the industry.

**Investment Thesis:**
1. Near-term demand for unit replacements remains strong due to the aging floors and machines in casinos.
2. Expansion of TAM and growth of ship share from 10% to 15% through new products and market entries.
3. Everi is best-positioned for the transition to cashless/contactless payments, with a focus on fintech solutions and loyalty programs.

**Risks:**
- Competition in the slot machine industry
- Regulatory challenges
- Slow transition to cashless payments
- Recessionary risks

**Catalysts:**
- International expansion into markets like Australia and the UK
- Integration of technology into additional gaming adjacent markets
- Launch of new gaming cabinets and products
- Ship share gains and share price appreciation

**Valuation:**
The DCF valuation model suggests a 4-year price target of $23.35 with a potential ROI of 44.2%. The historical TEV/EBITDA ratio has ranged from 5.45 to 7.4, indicating potential for multiple re-rating in the future.

In conclusion, Everi Holdings presents a compelling long-term investment opportunity based on its growth prospects, market positioning, and technological innovations in the casino industry. 

**Recommendation:**
Considering the detailed analysis and future growth potential, a long position in Everi Holdings is recommended for potential capital appreciation. 

**Analysts:**
- Dylan Rhee
- James Zollinger
- Asher Noel 

**SIR Director:**
Sarah Lao

**Date:**
April 13st, 2023"
